genomic_feature(s)	population1_pct	population2_pct	pvalue	padj	Log2_fold_change	SiteLocation	NumSites	FC_direction
ZNF655:chr7:99575892-99576453:1	UTR3	0.161417322834646	0.0645161290322581	5.33939195062149e-21	1.78629357708042e-17	2.36169722825533	4	4	Up
LUC7L3:chr17:50752184-50752755:1	UTR3	0.374015748031496	0.301747311827957	1.35321088121153e-13	1.00603711179849e-10	1.05726652438867	3	4	Up
LUC7L3:chr17:50755803-50756219:1	UTR3	0.141732283464567	0.129032258064516	0.00283833055883797	0.0369479956598927	0.817638314760555	4	4	Up
TMEM178A:chr2:39717459-39717963:1	UTR3	0.271653543307087	0.191532258064516	2.50117419854714e-13	1.67353565624789e-10	1.00751409192503	3	3	Up
ANKS1A:chr6:35090879-35091406:1	UTR3	0.173228346456693	0.110215053763441	2.91935225577916e-12	1.50256814949372e-09	1.40171996474087	5	5	Up
WSB1:chr17:27312703-27313926:1	UTR3	0.590551181102362	0.446908602150538	1.1744811306318e-11	5.23896883003826e-09	0.588998533414831	1	3	Up
OGT:chrX:71575332-71575892:1	UTR3	0.181102362204724	0.133064516129032	2.12603469966136e-10	6.18491225018877e-08	1.19398119625674	4	4	Up
TTC3:chr21:37202619-37203112:1	UTR3	0.283464566929134	0.245967741935484	1.61555676614059e-09	3.48699687814409e-07	0.977296255419522	2	2	Up
RBM25:chr14:73096880-73099856:1	UTR3	0.338582677165354	0.308467741935484	1.84229765719742e-09	3.68304072157648e-07	0.996520419739829	5	8	Up
RBM25:chr14:73083532-73099910:1	UTR3	0.417322834645669	0.452956989247312	3.70956885748668e-06	0.000195438781302704	0.609952112495588	3	8	Up
RBM25:chr14:73096932-73103247:1	UTR3	0.551181102362205	0.61491935483871	2.02002387509584e-05	0.000774313174399447	0.449184934275539	7	8	Up
RBM25:chr14:73096883-73097051:1	UTR3	0.208661417322835	0.206317204301075	0.000159309426317668	0.00393335561435984	0.840584529631036	6	7	Up
HNRNPA3:chr2:177223323-177223958:1	UTR3	0.181102362204724	0.134408602150538	4.65135566625307e-09	8.89206307511408e-07	1.44249741043528	9	9	Up
PDE4A:chr19:10469214-10469630:1	UTR3	0.192913385826772	0.094758064516129	1.38892043334358e-08	2.20224096049166e-06	0.990375587091876	2	2	Up
GRIA3:chrX:123490437-123490915:1	UTR3	0.322834645669291	0.20497311827957	1.70724803256277e-08	2.53848813019499e-06	0.859423588503816	5	5	Up
